1	27101195	27101413	ARID1A_276
1	34003000	34003211	CSMD_106
1	34083081	34083302	CSMD_195
1	65321219	65321432	JAK1
1	79387238	79387568	ELTD1
1	85733521	85733740	BCL10_601
1	115256397	115256634	NRAS_855,NRAS_A59T,NRAS_881_3
1	115258635	115258852	NRAS_089,NRAS_095
1	120478016	120478230	NOTCH2
1	158259781	158259997	CD1C_856
1	158299293	158299515	CD1B_372
1	161518313	161518602	FCGR3A
1	171510254	171510551	PRRC2C
1	237944798	237945107	RYR2
1	271067043	271067257	ARD1A_117
10	89692802	89693016	PTEN_117
10	89711798	89712016	PTEN_115
10	89717571	89717887	PTEN_882,PTEN_985
10	112362611	112362919	SMC3
10	129172321	129172538	DOCK1_389
11	32413460	32413678	WT1_992
11	32417809	32418019	WT1_339
11	102100359	102100631	YAP1
11	108163379	108163597	ATM_443
12	25398174	25398399	KRAS_1,KRAS_2,KRAS_329
12	46230586	46230801	ARID2_880
12	46242559	46242769	ARID2_843
13	26911655	26911865	CDK8_719
13	48919203	48919472	RB1
14	36988328	36988608	NKX2
14	42356315	42356531	LRFN5
15	75672880	75673112	SIN3A_007
16	89348116	89348336	ANKRD11
16	89805470	89805698	FANCA_549
17	7576911	7577209	TP53_989,TP53_7,TP53_741,TP53_094
17	7577398	7577683	TP53_1,TP53_392-2,TP53_506,TP53_546
17	7578163	7578387	TP53_263,TP53_275,TP53_281
17	7578290	7578618	TP53_049,TP53_383,TP53_390,TP53,TP53_517
17	7578619	7578843	TP53_699
17	7579207	7579419	TP53_970
17	7579441	7579654	TP53_512
17	7579685	7579898	TP53_762
17	7673688	7673907	TP53_769
17	12666330	12666559	MYOCD_086
17	29527457	29527750	NF1
17	29576003	29576216	NF1_059
17	37881222	37881441	ERBB2
17	78857156	78857370	RPTOR_232
18	45374689	45374990	SMAD2
18	48584399	48584615	SMAD4_466
19	1625511	1625732	TCF3
19	4117431	4117647	MEK2_508
19	11123864	11124085	SMARCA4_941
19	45855383	45855606	ERCC2
19	49990542	49990805	RPL13
2	29432546	29432787	ALK_7
2	29436728	29436981	ALK_6
2	29443494	29443807	ALK_5,ALK_4
2	29445107	29445377	ALK_3,ALK_2
2	29445321	29445565	ALK_1
2	125204239	125204456	CNTNAP5
2	198267331	198267546	SF3B1
2	212251682	212251900	ERBB4_760
2	212426613	212426832	ERBB4
20	36022210	36022452	SRC
22	30034837	30035133	NF2
3	16306369	16306623	DPH3
3	41265997	41266237	CTNNB1_580
3	71247326	71247554	FOXP1_406
3	89258877	89259164	EPHA3
3	97356751	97357043	EPHA6
3	178916838	178917045	PIK3CA_123
3	178935963	178936211	PIK3CA_E545K,PIK3CA_258
3	178951966	178952190	PIK3CA_234
4	55140913	55141143	PDGFRA_1_v4
4	55144039	55144280	PDGFRA_2_v5
4	55151915	55152218	PDGFRA_3_v1,PDGFRA_4_v1
4	55164734	55164969	KIT_3.2_v1
4	55592072	55592292	KIT_1_v1,KIT_985
4	55593464	55593767	KIT,KIT_2_v4,KIT_414,KIT_3_v2
4	55594110	55594364	KIT_4_v1,KIT_5_v4
4	55595406	55595627	KIT_6_v1
4	55599199	55599442	KIT_7_v3,KIT_125
4	114277140	114277369	ANK2_248
5	1294074	1294351	TERT
5	35875541	35875756	IL7R_645
5	86658213	86658476	RASA1
5	86672712	86672935	RASA1_776
5	112164375	112164593	APC_548
5	112175318	112175533	APC_393
5	149514319	149514613	PDGFRB
5	150923359	150923583	FAT2_467
5	169135114	169135330	DOCK2_191
5	176638377	176638596	NSD1_454
6	31940020	31940231	STK19_323
6	32178533	32178746	NOTCH4
6	43019986	43020199	CUL7_091
6	117704526	117704742	ROS1_632
6	117730691	117730903	ROS1_798
7	6426787	6427005	RAC1_226_2
7	50467792	50468013	IKZF1
7	55248960	55249207	EGFR_T790M
7	55259405	55259626	EGFR_L858R
7	103179581	103179797	RELN_692
7	107423627	107423936	SLC26A3
7	140453029	140453240	BRAF_305
7	152346320	152346523	XRCC2_385
8	113316902	113317211	CSMD3
9	5073625	5073881	JAK2_725,JAK2_726
9	21970912	21971291	CDKN2A_994,CDKN2A_078,CDKN2A_068,CDNK2A_068
9	21974615	21974839	CDKN2A_690
9	127911975	127912192	PPP6C_773
9	137622094	137622306	COL5A1_171
X	3241189	3241485	MXRA5
